StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,GS_1,GS_2,GS_3,GS_4,GS_5,GS_6,GS_7,GS_8,GS_9,GS_10,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,GA_8,GA_9,GA_11,GA_10,WA_1,WA_2,WA_3,WA_4,WA_5,WA_6,WA_7,WA_8,WA_9,WA_10,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,WD_1,WD_2,WD_3,WD_4,WD_5,WD_6,WD_7,WD_8,WD_9,WD_10,GD_1,GD_2,GD_3,GD_4,GD_5,GD_6,GD_7,GD_8,GD_9,GD_10,GK_1,GK_2,GK_3,GK_4,GK_5,GK_6,GK_7,GK_8,GK_9
2022-06-16 04:00:57,2022-06-16 05:01:39,IP Address,88.104.103.71,100,3641,True,2022-06-16 05:01:39,R_uxoKRfqiFwL8HN7,,,,,51.4061,0.0152,anonymous,EN,,,,3,1,,,,2,,,,1,3,,2,,,,,,1,,,3,,,2,,,,,,,1,,3,,2,,,,,2,1,,,,3,,,,,,1,,3,,,2,,,,,,1,,,2,3,
2022-06-16 05:00:10,2022-06-16 05:03:26,IP Address,61.68.116.54,100,195,True,2022-06-16 05:03:26,R_3lGKLHrmpsxnqrt,,,,,-37.8159,144.9669,anonymous,EN,,,,2,1,,3,,,,,,2,3,,1,,,,,,,,,,,,3,1,2,,,,1,,,3,,,2,,,,2,3,,,,1,,,,,2,,,1,,,3,,,,,1,,,,2,3,
2022-06-16 05:02:30,2022-06-16 05:06:42,IP Address,59.102.26.187,100,251,True,2022-06-16 05:06:43,R_1LTO7Jsi4S9VQmR,,,,,-37.8159,144.9669,anonymous,EN,,1,,3,,,,,2,,,,3,1,,2,,,,,,,,,3,,,2,,,1,,,2,1,,3,,,,,,,3,1,,2,,,,,,,1,,,3,,,2,,,2,,,,,,1,3,
2022-06-16 05:06:18,2022-06-16 05:10:23,IP Address,1.159.44.173,100,244,True,2022-06-16 05:10:23,R_238d4XHPyXBBl0b,,,,,-37.8159,144.9669,anonymous,EN,,,1,2,,,,,3,,,,3,,,1,,2,,,,,,,2,,,3,,1,,,,3,,,,,2,1,,,,2,3,,,,1,,,,,,1,,3,,,2,,,,,,,,2,1,3,
2022-06-16 05:07:19,2022-06-16 05:11:07,IP Address,135.0.83.67,100,227,True,2022-06-16 05:11:07,R_1OvR3kT4EjNhWLV,,,,,43.6547,-79.3623,anonymous,EN,,,,3,2,,,,1,,,,3,1,,,,2,,,,,,,3,,,1,,2,,,,2,3,,1,,,,,,,1,2,,,,3,,,,,3,,,1,,,2,,,2,,,,,,3,1,
2022-06-16 05:13:26,2022-06-16 05:17:51,IP Address,1.145.218.93,100,265,True,2022-06-16 05:17:51,R_2dNt2ZXB5L8Gum0,,,,,-37.8159,144.9669,anonymous,EN,,,,2,,,1,,3,,,,3,2,,1,,,,,,1,,,2,,,3,,,,1,,3,,,,,2,,,,1,,3,,,,2,,,,,2,,,3,,,1,,,3,,,,,,1,2,
2022-06-16 05:19:08,2022-06-16 05:22:00,IP Address,180.150.36.231,100,172,True,2022-06-16 05:22:01,R_1QG95hF7SPzfJiG,,,,,-37.8159,144.9669,anonymous,EN,,1,,3,,,,,2,,,,3,1,,,,2,,,,,,,,,,2,,3,1,2,,3,,,,,1,,,,,3,2,,,,1,,,,,2,,,1,,,3,,,2,,,,,,1,3,
2022-06-16 05:18:48,2022-06-16 05:22:27,IP Address,124.188.77.218,100,218,True,2022-06-16 05:22:27,R_23TrEYKzuytPosE,,,,,-37.8159,144.9669,anonymous,EN,,1,,2,,,3,,,,,,3,,,2,,1,,,,,,,,2,,3,1,,,,,3,,,,,2,,,1,2,3,,,,,1,,,,,3,,,1,,,2,,,2,,1,,,,,3,
2022-06-16 05:21:06,2022-06-16 05:28:38,IP Address,14.2.7.10,100,451,True,2022-06-16 05:28:38,R_r13ulebz4ognTbP,,,,,-34.9274,138.6005,anonymous,EN,,,,3,1,,2,,,,,,3,1,,2,,,,,,,,,,1,,3,,,2,,,1,2,,3,,,,,,,1,3,,,,,,2,,,1,3,,,,,2,,,,,,,,1,2,3,
2022-06-16 05:27:21,2022-06-16 05:30:47,IP Address,5.68.50.56,100,205,True,2022-06-16 05:30:47,R_31z6A0Pwol2sOrI,,,,,51.8164,-0.3573,anonymous,EN,,,,3,2,,1,,,,,,,3,,,1,2,,,,,,2,,,,3,1,,,,,,2,,3,,,,,1,,3,1,2,,,,,,,,1,,,2,,,3,,,,,,,,1,2,3,
2022-06-16 05:31:31,2022-06-16 05:41:23,IP Address,14.2.7.10,100,591,True,2022-06-16 05:41:23,R_2uPV25j0z1fiYBM,,,,,-34.9274,138.6005,anonymous,EN,,,,3,2,,1,,,,,,,3,,2,1,,,,,,,,,1,,3,,,2,,,,1,,3,,,,,2,2,1,3,,,,,,,,,,,,2,,,3,1,,2,,,,,1,,3,
2022-06-16 05:38:12,2022-06-16 05:41:46,IP Address,1.152.18.124,100,213,True,2022-06-16 05:41:46,R_2alVmumUX1DWfDE,,,,,-37.8159,144.9669,anonymous,EN,,,,,1,,2,,3,,,,3,1,,2,,,,,,,,,1,,,3,,2,,,,2,3,,,,1,,,,,,3,,,,2,1,,,,1,2,,,,,3,,,,,2,,,,1,3,
2022-06-16 05:38:11,2022-06-16 05:42:35,IP Address,203.217.35.70,100,263,True,2022-06-16 05:42:35,R_2savLuapxmZwYOx,,,,,-33.8715,151.2006,anonymous,EN,,2,,3,1,,,,,,,,3,2,,1,,,,,,,,,3,,,1,,2,,,,1,,,,,3,2,,,,2,3,,1,,,,,,1,3,,,2,,,,,,2,,,,,,1,3,
2022-06-16 05:40:42,2022-06-16 05:42:55,IP Address,71.251.13.150,100,132,True,2022-06-16 05:42:55,R_8AhegZE4hz8jg1X,,,,,40.7157,-74,anonymous,EN,,2,3,,,,,,,1,,,2,3,,1,,,,,,,,,,,,2,,3,1,,,,,,3,,1,2,,,2,,3,,,,,,,1,,,,,1,3,,2,,,1,,,,,,3,2,
2022-06-16 05:40:50,2022-06-16 05:43:06,IP Address,101.183.42.244,100,135,True,2022-06-16 05:43:07,R_2zO5XPijbkPwsUK,,,,,-33.8715,151.2006,anonymous,EN,,,,2,3,,,,1,,,2,3,,,,1,,,,,,,1,,,,2,,3,,,,,3,,2,,,,1,,,3,2,,,,1,,,,,,,,2,1,,3,,,,,,,,1,2,3,
2022-06-16 05:43:04,2022-06-16 05:48:14,IP Address,203.123.125.97,100,309,True,2022-06-16 05:48:14,R_1pDz7AeVGNEcEPk,,,,,-27.4679,153.0325,anonymous,EN,,,,3,,,1,,2,,,,3,1,,,,2,,,,,,,1,,,2,,3,,,,1,,,,,2,3,,,1,3,2,,,,,,,,,2,,,,1,,3,,,1,,,,,,2,3,
2022-06-16 05:47:15,2022-06-16 05:48:42,IP Address,124.170.25.198,100,86,True,2022-06-16 05:48:42,R_2R8Ikt942CLZzyH,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,,2,,3,1,,,,,,,,,,,3,1,2,,,,2,3,,,,1,,,,,2,3,1,,,,,,,,3,,,2,,,1,,,1,,2,,,,,3,
2022-06-16 05:47:16,2022-06-16 05:49:58,IP Address,102.141.181.139,100,161,True,2022-06-16 05:49:58,R_rjsRgHkN6OWa8ud,,,,,-25.7599,28.2604,anonymous,EN,,,3,1,2,,,,,,,,2,3,,1,,,,,,,,,,,,1,,3,2,,,,1,,3,,,2,,,2,3,,,,,1,,,,,3,,,,2,,1,,,1,,,,,,2,3,
2022-06-16 05:43:37,2022-06-16 05:50:34,IP Address,125.168.116.51,100,416,True,2022-06-16 05:50:35,R_2bVj0ZTdWgxYD7s,,,,,-33.8715,151.2006,anonymous,EN,,,,3,1,,,,2,,,,2,3,,1,,,,,,,,,1,,,3,,,2,,,2,1,,3,,,,,,,2,3,,,,1,,,,,,,,3,,,2,1,,1,,,,,,2,3,
2022-06-16 05:47:09,2022-06-16 05:52:54,IP Address,144.134.100.99,100,344,True,2022-06-16 05:52:54,R_pi0qNrgH1udaXxn,,,,,-27.4679,153.0325,anonymous,EN,,2,1,3,,,,,,,,,3,2,,,,1,,,,,,,,,,2,,3,1,,,,2,,1,,,3,,,,2,3,,,,1,,,,,3,,,,1,,2,,,1,,,,,,2,3,
2022-06-16 05:49:15,2022-06-16 05:54:10,IP Address,114.75.195.165,100,295,True,2022-06-16 05:54:10,R_1rw96mlneIX0E58,,,,,-27.4679,153.0325,anonymous,EN,,1,,3,,,2,,,,,,3,1,,2,,,,,,1,,,,,,3,,,2,,,1,,,3,,2,,,,,2,3,1,,,,,,,,3,,,2,1,,,,,2,,,,,,1,3,
2022-06-16 05:51:33,2022-06-16 05:54:18,IP Address,120.155.161.221,100,164,True,2022-06-16 05:54:18,R_3nw91171qqJI5iI,,,,,-27.4679,153.0325,anonymous,EN,,2,1,,3,,,,,,,,3,1,,2,,,,,,,,,3,,,,,2,1,,,2,1,,3,,,,,,,2,3,,,,,,1,,,,2,,,,,3,1,,1,,,,,,2,3,
2022-06-16 05:52:20,2022-06-16 05:54:39,IP Address,94.66.222.222,100,139,True,2022-06-16 05:54:40,R_1hSC1gxtcWiHLLy,,,,,37.964,23.6359,anonymous,EN,,1,,2,3,,,,,,,,2,3,,1,,,,,,,,,1,,,3,,,2,,,,1,,3,,2,,,,,1,2,3,,,,,,,,,,,2,1,,3,,,1,,,,,,3,2,
2022-06-16 05:59:25,2022-06-16 06:01:57,IP Address,110.148.140.167,100,152,True,2022-06-16 06:01:57,R_2XpwrN8PpHLvett,,,,,-37.8159,144.9669,anonymous,EN,,2,1,3,,,,,,,,,3,,,2,,1,,,,,,,1,,,3,,2,,,,1,3,,,,,2,,,,3,,,,,2,,1,,,1,,,2,,,3,,,1,,,,,,2,3,
2022-06-16 06:01:05,2022-06-16 06:03:20,IP Address,175.39.119.157,100,135,True,2022-06-16 06:03:21,R_usS4iX331GScSBP,,,,,-37.8159,144.9669,anonymous,EN,,,1,,2,,3,,,,,,,3,,2,,1,,,,,,,2,,,3,,1,,,,1,3,,2,,,,,,,3,1,,,,2,,,,,3,,,1,,,2,,,,,3,,,,2,1,
2022-06-16 06:04:38,2022-06-16 06:09:48,IP Address,1.145.161.24,100,309,True,2022-06-16 06:09:48,R_OfZVdvqKzB6H5SN,,,,,-37.8159,144.9669,anonymous,EN,,,1,3,,,,,2,,,,3,,,2,,,,1,,,,,3,,,1,,2,,,,1,2,,,,3,,,,,,3,1,,,2,,,,1,2,3,,,,,,,,1,,2,3,,,,,
2022-06-16 06:05:38,2022-06-16 06:10:22,IP Address,82.20.151.88,100,283,True,2022-06-16 06:10:22,R_278SY5FgKnX2wFm,,,,,51.6011,-3.2744,anonymous,EN,,,3,1,,,,,2,,,,1,,,2,,3,,,,,,,1,,,3,,,2,,,2,3,,1,,,,,,,2,3,,1,,,,,,,,3,,2,,,1,,,3,,,,,,2,1,
2022-06-16 06:14:22,2022-06-16 06:17:49,IP Address,163.47.97.59,100,207,True,2022-06-16 06:17:49,R_29b8eCreCFrMQJ2,,,,,-37.8159,144.9669,anonymous,EN,,,,3,1,,2,,,,,,3,,,2,,1,,,,,,,3,,,1,,,2,,,2,1,,3,,,,,,,3,2,,,,1,,,,,3,,,2,,,1,,,1,,,,,,2,3,
2022-06-16 06:13:58,2022-06-16 06:17:49,IP Address,149.167.129.1,100,231,True,2022-06-16 06:17:50,R_2xCZhAmXLojHJkn,,,,,-37.8159,144.9669,anonymous,EN,,1,,2,,,3,,,,,,2,,,3,1,,,,,,,1,2,,,3,,,,,,3,,,2,,1,,,,,,2,1,,,3,,,,,3,,,,2,,1,,,1,,3,,,,2,,
2022-06-16 06:20:03,2022-06-16 06:23:52,IP Address,124.182.38.201,100,228,True,2022-06-16 06:23:52,R_BAlOoCxbri5K6Hv,,,,,-37.8159,144.9669,anonymous,EN,,,,1,2,,3,,,,,,3,,,2,,1,,,,,,,2,,,3,1,,,,,3,,,2,,,1,,,,3,2,,,,1,,,,,3,,,,1,,2,,,,,,1,,2,,3,
2022-06-16 06:19:00,2022-06-16 06:24:32,IP Address,180.222.167.139,100,331,True,2022-06-16 06:24:32,R_ZpHlknMHBSXwiDn,,,,,-35.3522,149.2297,anonymous,EN,2,1,,,3,,,,,,,,,3,,2,,1,,,,,,,,,,2,1,,3,,,1,,,3,,2,,,,,2,3,,,,,,1,,,3,,,,2,,,1,,,,,1,,,3,2,
2022-06-16 06:41:46,2022-06-16 06:45:59,IP Address,123.243.101.178,100,252,True,2022-06-16 06:45:59,R_p0iHrGaZW302X05,,,,,-37.8159,144.9669,anonymous,EN,,,,3,,,2,,1,,,,3,2,,1,,,,,,,,,1,,,3,,,2,,,2,,,3,,1,,,,,3,2,1,,,,,,,,3,,,2,,,1,,,,,,,,1,2,3,
2022-06-16 06:48:24,2022-06-16 06:51:44,IP Address,121.223.171.246,100,200,True,2022-06-16 06:51:45,R_1l6UKFKEVGnDpnP,,,,,-33.8715,151.2006,anonymous,EN,,2,,3,1,,,,,,,,2,3,,,,1,,,,,,,1,,,,,3,2,,,,,,3,,,2,,1,3,,1,,,,,,2,,,3,,,,2,,,1,,3,,,2,,,1,,
2022-06-16 06:51:28,2022-06-16 06:55:01,IP Address,92.40.178.112,100,212,True,2022-06-16 06:55:01,R_3gNnlfgPQoPNX4a,,,,,51.4964,-0.1224,anonymous,EN,,,1,3,,,2,,,,,,1,2,,3,,,,,,1,,,,,,3,,,2,2,,,,,3,,,1,,,,2,3,,,,1,,,,,,1,,2,,,3,,,1,,,,,,3,2,
2022-06-16 06:56:44,2022-06-16 07:01:42,IP Address,118.208.101.77,100,298,True,2022-06-16 07:01:42,R_0BxpM29uf4wbvO1,,,,,-33.8715,151.2006,anonymous,EN,,,,3,1,,,,2,,,,1,,,2,,3,,,,,,,,,,2,1,3,,,,2,,,,,1,3,,,,3,1,,,,2,,,,,1,2,,3,,,,,,2,,,,,,1,3,
2022-06-16 06:29:47,2022-06-16 07:04:33,IP Address,82.132.213.146,100,2086,True,2022-06-16 07:04:34,R_1IRcMRgbTIenBUQ,,,,,51.5113,-0.2714,anonymous,EN,,3,,2,,,1,,,,,,3,2,,,1,,,,,,,,3,,,2,,,1,,,,1,,3,,2,,,,,3,2,,,,1,,,,,1,2,,,,,3,,,1,,,,,,3,2,
2022-06-16 07:08:31,2022-06-16 07:12:46,IP Address,121.209.33.134,100,254,True,2022-06-16 07:12:46,R_3EcGjftByIBZshJ,,,,,-33.8715,151.2006,anonymous,EN,,,3,,,,2,,1,,,1,2,,,,,3,,,,1,,,,,,3,,,2,2,,,,,3,,,1,,,,3,2,,1,,,,,,,,,,2,3,,1,,,1,,,,,,2,3,
2022-06-16 07:12:49,2022-06-16 07:14:15,IP Address,86.176.11.117,100,86,True,2022-06-16 07:14:16,R_R3TPGNwZm0xHbUd,,,,,51.3873,-0.1596,anonymous,EN,,,,,3,1,2,,,,,,,,,1,2,3,,,,,,,,,,3,2,,1,2,,,1,,3,,,,,,1,3,2,,,,,,,,,2,,,3,,,1,,,,,,,,1,2,3,
2022-06-16 07:17:15,2022-06-16 07:19:38,IP Address,188.220.247.128,100,143,True,2022-06-16 07:19:38,R_29gNI5WWhrmyyoi,,,,,54.9749,-1.6451,anonymous,EN,,3,,2,1,,,,,,,,,1,,3,,2,,,,,,,2,,,1,,,3,3,,,2,,1,,,,,,,2,1,,,,,,3,,3,1,,,2,,,,,,2,,,3,,,,1,
2022-06-16 07:20:57,2022-06-16 07:23:06,IP Address,112.141.23.65,100,129,True,2022-06-16 07:23:06,R_3PQWyJ3cXTD21Yx,,,,,-33.8715,151.2006,anonymous,EN,,,,2,,,1,,3,,,,3,2,,,,1,,,,,,,3,,,2,,,1,1,,,,,3,,2,,,,,2,3,,,,,,,1,,,3,,2,,,1,,,,,,2,,,1,3,
2022-06-16 07:30:53,2022-06-16 07:33:43,IP Address,188.214.9.199,100,169,True,2022-06-16 07:33:43,R_1CEp6LOksCDDoVC,,,,,51.5064,-0.02,anonymous,EN,,,,1,3,,,,2,,1,,,,,,2,3,,,,3,,,2,,,,,1,,,,2,,,1,,3,,,,2,,3,,,,1,,,,,,3,,,,2,1,,,,,,1,,,2,3,
2022-06-16 07:37:08,2022-06-16 07:41:41,IP Address,61.68.132.128,100,273,True,2022-06-16 07:41:41,R_xDD1gMSlGhHQZzz,,,,,-33.8715,151.2006,anonymous,EN,,,,1,2,,,,3,,,,2,,,3,,1,,,,,,,3,,,1,,2,,1,,3,2,,,,,,,,,1,2,,,,,,3,,,3,,,2,,,1,,,2,,,,,,3,1,
2022-06-16 07:34:02,2022-06-16 07:41:51,IP Address,60.227.50.181,100,468,True,2022-06-16 07:41:51,R_1o147tYUIFogGRI,,,,,-33.8715,151.2006,anonymous,EN,,,1,2,3,,,,,,,,1,3,,,,2,,,,,,,,,,3,1,2,,,,1,2,,3,,,,,,1,3,2,,,,,,,,,1,,,3,,,2,,,,,,1,,,2,3,
2022-06-16 07:42:54,2022-06-16 07:47:12,IP Address,213.205.192.39,100,257,True,2022-06-16 07:47:12,R_1FgHd7FLVWUKsnp,,,,,53.6479,-1.7812,anonymous,EN,,1,3,,2,,,,,,,,1,,,2,,3,,,,,,,2,,,3,,,1,,,2,,,3,,,,1,,,1,2,3,,,,,,,,3,,,2,,,1,,,,,1,,,,2,3,
2022-06-16 07:46:11,2022-06-16 07:50:08,IP Address,203.192.82.106,100,237,True,2022-06-16 07:50:08,R_3KOSjfMA1hohkyn,,,,,-37.8159,144.9669,anonymous,EN,,,3,2,,,1,,,,,,3,2,,1,,,,,,,,,,,,3,1,,2,,,3,1,,2,,,,,,,3,1,,,,,,2,,,3,,,,,,1,2,,3,,,,,,1,2,
2022-06-16 07:50:14,2022-06-16 07:58:37,IP Address,82.132.232.254,100,503,True,2022-06-16 07:58:38,R_1IawdbLEQSI7QFJ,,,,,51.5834,-0.0755,anonymous,EN,1,,,2,3,,,,,,,,3,2,,,,1,,,,,,,,,,,3,2,1,3,,,2,,1,,,,,,,3,2,,,,,,,1,2,3,,,,,,,,1,1,,,2,,,,3,
2022-06-16 08:04:04,2022-06-16 08:06:48,IP Address,112.141.42.32,100,163,True,2022-06-16 08:06:49,R_1IoS9eJahNWsxKr,,,,,-37.3772,144.9117,anonymous,EN,,,,3,1,,2,,,,,1,3,2,,,,,,,,1,,,2,,,3,,,,1,,2,,,3,,,,,,,2,3,,,,,,1,,,2,,,3,,,1,,,2,,,,,,1,3,
2022-06-16 08:14:04,2022-06-16 08:16:31,IP Address,129.230.179.4,100,146,True,2022-06-16 08:16:31,R_2s4jk26L3DjKzU4,,,,,57.1453,-2.0945,anonymous,EN,,1,,2,3,,,,,,,,,3,,2,,1,,,,,,,,,,2,1,,3,2,,,1,,3,,,,,,,3,2,,,,,,1,,,1,,,3,2,,,,,2,,,1,,,,3,
2022-06-16 08:15:05,2022-06-16 08:18:25,IP Address,1.146.151.236,100,199,True,2022-06-16 08:18:25,R_3NFf0AUD16WTEFZ,,,,,-31.9474,115.8648,anonymous,EN,,1,,3,2,,,,,,,,,3,,2,,1,,,,,,,2,,,3,,,1,,,1,2,,3,,,,,,,,3,,,,1,,2,,,2,,,3,,,1,,,2,,,1,,,,3,
2022-06-16 08:16:29,2022-06-16 08:19:27,IP Address,203.214.93.13,100,177,True,2022-06-16 08:19:27,R_3kKRmLYjOdAo7LQ,,,,,-37.8159,144.9669,anonymous,EN,,,2,,3,,1,,,,,,2,3,,1,,,,,,,,,,,,3,,2,1,,,3,,,2,,,1,,,,,2,1,,,,,3,,2,3,,,1,,,,,,,,1,2,,,,3,
2022-06-16 08:24:35,2022-06-16 08:27:44,IP Address,58.173.49.254,100,188,True,2022-06-16 08:27:44,R_T0n1uz0gHKQIVjz,,,,,-31.9474,115.8648,anonymous,EN,,,,3,,2,1,,,,,,2,,,,1,,,3,,,,,,3,,2,,1,,,,,1,,,,3,,,2,,,,,,1,3,2,,,,2,,,,1,,,3,,3,,,1,,,,2,
2022-06-16 08:27:04,2022-06-16 08:30:13,IP Address,14.200.248.42,100,188,True,2022-06-16 08:30:13,R_3r01YiXz0t4kHqX,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,3,1,,2,,,,,,,,,2,,,3,,,1,1,,2,,,3,,,,,,,3,1,,,,2,,,,,3,,,1,,,2,,,1,,,,,,2,3,
2022-06-16 08:33:29,2022-06-16 08:38:33,IP Address,175.39.205.204,100,303,True,2022-06-16 08:38:34,R_1jCbd2T2lvQiZYL,,,,,-37.8159,144.9669,anonymous,EN,,2,,1,3,,,,,,,,3,,,2,,1,,,,,,,2,,,3,,,1,,,2,1,,3,,,,,,,3,2,,,,1,,,,,3,,,,1,,2,,,,,3,,,,1,2,
2022-06-16 08:42:58,2022-06-16 08:45:45,IP Address,37.205.58.146,100,167,True,2022-06-16 08:45:45,R_OljhDvwJNTiWpNf,,,,,51.536,-0.0925,anonymous,EN,,,,,3,,1,,2,,,,1,,,2,,3,,,,,,3,,,,,1,2,,3,,,,,2,,,,1,,1,3,2,,,,,,,,,1,,,3,,,2,,,,,,1,,,2,3,
2022-06-16 09:11:12,2022-06-16 09:13:34,IP Address,176.45.49.17,100,141,True,2022-06-16 09:13:34,R_27IE2vJADZgtJig,,,,,24.6569,46.7179,anonymous,EN,,,2,3,,,1,,,,,,3,,,1,,2,,,,,,,2,,,3,,1,,2,,1,,,3,,,,,,,3,2,,1,,,,,,,3,,,1,,,2,,,1,,,,,,2,3,
2022-06-16 09:14:02,2022-06-16 09:30:23,IP Address,82.132.224.36,100,981,True,2022-06-16 09:30:23,R_8GHQ02Qmf4vCQ6Z,,,,,51.4986,0.0441,anonymous,EN,,2,,3,1,,,,,,,,3,,,2,1,,,,,1,,,3,,,,2,,,2,,,,,,,3,1,,,,3,2,,,,,,1,,1,,,,2,,,3,,,2,1,,,,,,3,
2022-06-16 09:49:33,2022-06-16 09:53:37,IP Address,202.144.161.137,100,244,True,2022-06-16 09:53:38,R_11ZKVHrEfARUxZd,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,3,1,,2,,,,,,,,,1,,,3,,2,,,,3,1,,,,,2,,,,3,2,,,,1,,,,,1,,,2,,,3,,,,,,,,1,2,3,
2022-06-16 10:07:34,2022-06-16 10:09:31,IP Address,185.69.144.227,100,117,True,2022-06-16 10:09:32,R_s75FdYT0jcGav61,,,,,51.4964,-0.1224,anonymous,EN,,,3,2,,,,1,,,,,1,,3,,,2,,,,2,,1,,,,,,3,,,,2,1,,3,,,,,,2,,3,,,,,,,1,,,,,3,,,2,,1,,,,1,,,2,3,
2022-06-16 10:13:45,2022-06-16 10:20:30,IP Address,82.20.190.19,100,404,True,2022-06-16 10:20:30,R_vUGgyF6AbUNDl6x,,,,,51.5747,-1.7823,anonymous,EN,,,3,1,2,,,,,,,,1,2,,3,,,,,,,,,,1,,,,3,2,,,1,,,3,,,2,,,,2,3,,,,,,,1,,2,,,3,,,1,,,,,,,,1,3,2,
2022-06-16 10:16:56,2022-06-16 10:21:04,IP Address,82.43.178.120,100,248,True,2022-06-16 10:21:04,R_3LjRxq2eE8lxZ6Z,,,,,55.9552,-3.2,anonymous,EN,,,,,3,,2,,1,,,,,3,,2,1,,,,,,,,1,,,2,,,3,,,,,,3,,2,,1,,,3,2,1,,,,,,,,,,,3,1,,2,,,,,,1,,,2,3,
2022-06-16 10:17:08,2022-06-16 10:21:18,IP Address,82.132.220.188,100,249,True,2022-06-16 10:21:18,R_3hnhMoot89MLjxC,,,,,51.5026,-0.066,anonymous,EN,,2,,3,,,1,,,,,,3,2,,1,,,,,,,,,1,,,2,,3,,,,,2,,1,,,3,,,,3,1,,,,2,,,,,1,2,,3,,,,,,,,2,,,,1,3,
2022-06-16 10:34:20,2022-06-16 10:38:03,IP Address,213.205.192.4,100,223,True,2022-06-16 10:38:04,R_2zN1oleCnGXyjd8,,,,,53.4802,-2.1867,anonymous,EN,,1,,2,3,,,,,,,,3,2,,,,1,,,,,,,1,,,3,,2,,2,,3,,,,,,1,,,,3,2,,,,1,,,,3,,,,,1,,2,,,1,,,,,3,,2,
2022-06-16 11:10:44,2022-06-16 11:13:47,IP Address,84.66.68.224,100,183,True,2022-06-16 11:13:47,R_Zlf4HSo9f87dLHj,,,,,52.5062,-1.9425,anonymous,EN,,1,,3,2,,,,,,,,1,3,,2,,,,,,,,,,,,3,1,2,,1,,,,,2,,3,,,,,1,3,,,,,,2,,1,,,,2,,,3,,,2,1,,,,,,3,
2022-06-16 11:34:09,2022-06-16 11:37:22,IP Address,86.149.86.188,100,193,True,2022-06-16 11:37:23,R_2SvQhqPhwfh0zXc,,,,,53.7687,-2.4667,anonymous,EN,,,,2,3,,,,1,,,,3,1,,,2,,,,,,,1,2,,,3,,,,,,,1,,3,,2,,,,,2,3,,,,,,1,,,,2,,1,,,3,,,,,,1,,,2,3,
2022-06-16 11:48:48,2022-06-16 11:51:08,IP Address,94.137.92.169,100,139,True,2022-06-16 11:51:08,R_1LLpBO2oetvbKK4,,,,,40.7425,-73.9877,anonymous,EN,,1,,,3,,,,2,,,,3,2,,,1,,,,,,,,3,,2,,,1,,,,3,,1,2,,,,,,,2,3,,,,,,1,,,3,,,2,,,1,,,,,,,,1,2,3,
2022-06-16 11:54:48,2022-06-16 11:56:45,IP Address,92.40.168.46,100,117,True,2022-06-16 11:56:46,R_8wc3cTCUZRCdvqx,,,,,51.4964,-0.1224,anonymous,EN,,,,1,3,,,,2,,,,3,,,2,1,,,,,,,,3,,,2,1,,,,,3,1,,2,,,,,,,3,2,,1,,,,,,,2,1,,3,,,,,,,,1,,,,2,3,
2022-06-16 12:50:05,2022-06-16 12:52:41,IP Address,203.221.7.245,100,155,True,2022-06-16 12:52:41,R_1jQ9J605n0QElk5,,,,,-37.8159,144.9669,anonymous,EN,,1,2,,,,,,3,,1,,3,,,,,,,2,,,,,3,2,,,,,1,1,,,2,,,,3,,,,,2,3,,,,,,,1,1,2,3,,,,,,,,,,,3,,,1,2,
2022-06-16 12:48:18,2022-06-16 12:54:54,IP Address,103.217.166.195,100,396,True,2022-06-16 12:54:55,R_3PAYJinqPTPs04V,,,,,-33.8715,151.2006,anonymous,EN,,,,3,2,,,,1,,,,,1,,2,,3,,,,,,,1,,,3,,2,,,,2,,,,,1,3,,,,3,2,,,,1,,,,,1,,,3,,,2,,,1,,,,,,2,3,
2022-06-16 13:30:12,2022-06-16 13:33:13,IP Address,159.196.10.216,100,180,True,2022-06-16 13:33:13,R_zUOc7JKvLI0fP1L,,,,,-26.6565,153.0841,anonymous,EN,3,,1,,,,,2,,,,,,1,,,,2,,3,,2,,,3,,,,,1,,,,,,,3,,2,1,,,,,3,,,,,2,1,,,,,1,3,2,,,,,,,,,,2,,3,1
2022-06-16 13:44:49,2022-06-16 13:47:47,IP Address,146.7.15.11,100,177,True,2022-06-16 13:47:47,R_28NzrsnuEGxedyS,,,,,37.168,-93.3039,anonymous,EN,,,,3,2,,1,,,,,,3,2,,1,,,,,,,,,1,,,2,,3,,,,1,2,,,,,3,,,1,2,3,,,,,,,,,3,,,,2,,1,,,1,,,,,,2,3,
2022-06-16 14:19:06,2022-06-16 14:21:09,IP Address,86.161.225.252,100,122,True,2022-06-16 14:21:09,R_r7rGch3qtXhA7iV,,,,,51.0712,1.1457,anonymous,EN,,,,1,2,,3,,,,,1,,,,2,,3,,,,,,,,,,3,1,2,,2,,3,,,,,,,1,,,3,2,,,,1,,,,2,3,,,,,,1,,,2,,1,,,,,3,
